Site,Latitude,Longitude,Year,Month,Season,Percent_C1,Percent_C2,Percent_C3,Percent_C4,Percent_C5,Percent_C6
SRS-5,25.37702258,-81.03234716,2019,6,Wet,0.238220976,0.188228292,0.12219975,0.157935962,0.096768077,0.196646945
SRS-5,25.37702258,-81.03234716,2019,7,Wet,0.244454543,0.191196489,0.13497725,0.127537652,0.108058476,0.193775589
SRS-5,25.37702258,-81.03234716,2019,9,Wet,0.243425855,0.182551043,0.12593165,0.152892353,0.099858677,0.195340423
SRS-5,25.37702258,-81.03234716,2019,10,Wet,0.228951451,0.167131993,0.11718141,0.144372534,0.089797196,0.252565415
SRS-5,25.37702258,-81.03234716,2020,2,Dry,0.248514487,0.184004283,0.122765263,0.156481579,0.094822148,0.193412239
SRS-5,25.37702258,-81.03234716,2020,3,Dry,0.23838238,0.186193766,0.124076338,0.161548317,0.096118461,0.193680739
SRS-5,25.37702258,-81.03234716,2020,5,Dry,0.239489162,0.185162991,0.124501124,0.15963037,0.099864609,0.191351743
SRS-5,25.37702258,-81.03234716,2020,6,Wet,0.240107296,0.18488507,0.121762267,0.148923173,0.102626667,0.201695527
SRS-5,25.37702258,-81.03234716,2020,7,Wet,0.233012496,0.188881425,0.126425999,0.152635201,0.101906838,0.197138042
SRS-5,25.37702258,-81.03234716,2020,8,Wet,0.243719909,0.181772713,0.122785215,0.159613119,0.100941108,0.191167936
SRS-5,25.37702258,-81.03234716,2020,9,Wet,0.24533996,0.17816651,0.134356146,0.15162469,0.100062524,0.190450171
SRS-5,25.37702258,-81.03234716,2020,10,Wet,0.249157229,0.176854154,0.132201822,0.153216456,0.099519587,0.189050752
SRS-5,25.37702258,-81.03234716,2020,11,Wet,0.240089367,0.179810122,0.128425631,0.160515535,0.094660278,0.196499068
SRS-5,25.37702258,-81.03234716,2020,12,Dry,0.247262835,0.177450272,0.130130041,0.158085472,0.094346402,0.192724977
SRS-5,25.37702258,-81.03234716,2021,1,Dry,0.242914605,0.179088717,0.129316741,0.175410516,0.093016378,0.180253042
SRS-5,25.37702258,-81.03234716,2021,2,Dry,0.237856995,0.182979216,0.125697526,0.173191337,0.094721194,0.185553732
SRS-5,25.37702258,-81.03234716,2021,3,Dry,0.241220048,0.182664231,0.128444195,0.167301201,0.096123457,0.184246869
SRS-5,25.37702258,-81.03234716,2021,4,Dry,0.236606407,0.188997359,0.122767111,0.170716435,0.095314292,0.185598395
SRS-5,25.37702258,-81.03234716,2021,5,Dry,0.244382292,0.184272865,0.126159186,0.167104122,0.093272661,0.184808874
SRS-5,25.37702258,-81.03234716,2021,6,Wet,0.248926864,0.181324514,0.122469478,0.159765272,0.09243237,0.195081502
SRS-5,25.37702258,-81.03234716,2021,8,Wet,0.246498441,0.1839663,0.124653984,0.150167969,0.099652373,0.195060932
SRS-5,25.37702258,-81.03234716,2021,11,Wet,0.236237872,0.183458289,0.130846781,0.166606319,0.103129378,0.179721361
SRS-5,25.37702258,-81.03234716,2021,12,Dry,0.240832618,0.181809704,0.130124724,0.169234542,0.100570602,0.177427811
SRS-5,25.37702258,-81.03234716,2022,2,Dry,0.243723526,0.179970746,0.128359687,0.173755226,0.094603391,0.179587423
SRS-5,25.37702258,-81.03234716,2022,3,Dry,0.235570696,0.183690557,0.130105389,0.175988923,0.100372828,0.174271607
SRS-5,25.37702258,-81.03234716,2022,5,Dry,0.235272457,0.187460236,0.127013825,0.167317763,0.098605398,0.184330321
SRS-5,25.37702258,-81.03234716,2022,6,Wet,0.249812944,0.189378743,0.126227397,0.164007402,0.105404042,0.165169471
SRS-5,25.37702258,-81.03234716,2022,7,Wet,0.24462153,0.18500129,0.128614654,0.156204466,0.103477097,0.182080963
SRS-5,25.37702258,-81.03234716,2022,8,Wet,0.239525992,0.185699631,0.125098732,0.161694487,0.099977859,0.188003299
SRS-5,25.37702258,-81.03234716,2022,9,Wet,0.236362315,0.184499824,0.124825102,0.162990254,0.103467054,0.187855451
SRS-5,25.37702258,-81.03234716,2022,10,Wet,0.239100392,0.187757983,0.127046832,0.16397988,0.105300982,0.17681393
